epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,70.7016,2.21466,0.26779,0.72004,4.06095,0.00332697,0.00332697,0.0700573
2,141.377,1.83602,0.45318,0.85674,1.87374,0.00665868,0.00665868,0.0400556
3,210.442,1.61719,0.54963,0.92416,1.39595,0.00998388,0.00998388,0.0100475
4,279.197,1.42683,0.60019,0.94288,1.17943,0.00997803,0.00997803,0.00997803
5,347.092,1.25932,0.67228,0.96067,0.97792,0.00996097,0.00996097,0.00996097
6,417.193,1.13848,0.68727,0.96816,0.91975,0.00993906,0.00993906,0.00993906
7,484.9,1.06163,0.68914,0.9794,0.89129,0.00991232,0.00991232,0.00991232
8,554.035,1.01994,0.70037,0.97566,0.83533,0.00988079,0.00988079,0.00988079
9,623.362,0.98502,0.68446,0.96816,0.89487,0.00984449,0.00984449,0.00984449
10,690.932,0.95111,0.72846,0.98127,0.76695,0.00980345,0.00980345,0.00980345
11,760.467,0.92506,0.73502,0.98315,0.73478,0.00975773,0.00975773,0.00975773
12,828.29,0.87424,0.71161,0.98502,0.82884,0.00970736,0.00970736,0.00970736
13,896.917,0.88078,0.73502,0.98221,0.76239,0.00965239,0.00965239,0.00965239
14,964.37,0.85889,0.74345,0.99251,0.68639,0.00959289,0.00959289,0.00959289
15,1034.13,0.82465,0.76592,0.98596,0.68075,0.00952889,0.00952889,0.00952889
16,1101.8,0.80812,0.73689,0.98689,0.72794,0.00946048,0.00946048,0.00946048
17,1170,0.79889,0.7397,0.98408,0.7132,0.00938772,0.00938772,0.00938772
18,1239.15,0.7912,0.76124,0.98596,0.75506,0.00931067,0.00931067,0.00931067
19,1307.59,0.74644,0.75655,0.98689,0.67466,0.00922942,0.00922942,0.00922942
20,1375.75,0.77555,0.77809,0.98876,0.64743,0.00914405,0.00914405,0.00914405
21,1443.44,0.73594,0.76404,0.98783,0.71887,0.00905463,0.00905463,0.00905463
22,1511.82,0.72492,0.78184,0.98876,0.65449,0.00896127,0.00896127,0.00896127
23,1580.97,0.7147,0.76592,0.98876,0.64276,0.00886404,0.00886404,0.00886404
24,1647.57,0.71003,0.76779,0.99251,0.62098,0.00876305,0.00876305,0.00876305
25,1716.39,0.67578,0.78277,0.99625,0.55379,0.00865839,0.00865839,0.00865839
26,1785.52,0.65856,0.77715,0.98876,0.69021,0.00855018,0.00855018,0.00855018
27,1853.18,0.64455,0.78464,0.98408,0.62158,0.00843851,0.00843851,0.00843851
28,1921.2,0.65297,0.79869,0.9897,0.57874,0.00832349,0.00832349,0.00832349
29,1989.61,0.6387,0.77996,0.9897,0.59287,0.00820525,0.00820525,0.00820525
30,2058.02,0.64475,0.78277,0.98783,0.60218,0.00808389,0.00808389,0.00808389
31,2125.76,0.6076,0.77434,0.98502,0.6563,0.00795954,0.00795954,0.00795954
32,2194.05,0.61662,0.80243,0.99064,0.57784,0.00783231,0.00783231,0.00783231
33,2261.66,0.59213,0.78933,0.9897,0.57675,0.00770234,0.00770234,0.00770234
34,2330.64,0.59107,0.79026,0.98876,0.55798,0.00756976,0.00756976,0.00756976
35,2399.56,0.57192,0.79682,0.99064,0.55095,0.00743468,0.00743468,0.00743468
36,2467.87,0.57581,0.79307,0.98596,0.64299,0.00729725,0.00729725,0.00729725
37,2536.07,0.5642,0.80056,0.98876,0.59607,0.00715761,0.00715761,0.00715761
38,2603.65,0.55445,0.79775,0.98783,0.59,0.00701588,0.00701588,0.00701588
39,2671.71,0.53787,0.80899,0.9897,0.57772,0.00687222,0.00687222,0.00687222
40,2740.85,0.53265,0.7912,0.9897,0.63532,0.00672675,0.00672675,0.00672675
41,2809.56,0.53414,0.80524,0.99064,0.58239,0.00657963,0.00657963,0.00657963
42,2876.72,0.51262,0.81273,0.99064,0.55301,0.00643101,0.00643101,0.00643101
43,2945.58,0.51516,0.81367,0.99251,0.56243,0.00628101,0.00628101,0.00628101
44,3013.89,0.47335,0.8118,0.98876,0.58871,0.00612981,0.00612981,0.00612981
45,3081.05,0.48124,0.80243,0.99064,0.55648,0.00597754,0.00597754,0.00597754
46,3150.39,0.46632,0.81648,0.9897,0.53674,0.00582435,0.00582435,0.00582435
47,3219.07,0.47242,0.79775,0.99251,0.55413,0.0056704,0.0056704,0.0056704
48,3286.48,0.47398,0.8015,0.98876,0.54434,0.00551584,0.00551584,0.00551584
49,3356.07,0.44601,0.80618,0.99157,0.5473,0.00536081,0.00536081,0.00536081
50,3424.52,0.44357,0.81835,0.99157,0.53215,0.00520548,0.00520548,0.00520548
51,3492.4,0.43684,0.80993,0.99064,0.53678,0.00505,0.00505,0.00505
52,3560.12,0.4393,0.82678,0.99157,0.54998,0.00489452,0.00489452,0.00489452
53,3628.67,0.40935,0.81273,0.99064,0.54946,0.00473919,0.00473919,0.00473919
54,3696.34,0.40247,0.80524,0.99345,0.54278,0.00458416,0.00458416,0.00458416
55,3764.64,0.4093,0.81929,0.99157,0.56247,0.0044296,0.0044296,0.0044296
56,3833.62,0.37663,0.81929,0.99251,0.56067,0.00427565,0.00427565,0.00427565
57,3902.31,0.39383,0.81367,0.99345,0.54347,0.00412246,0.00412246,0.00412246
58,3970.4,0.36365,0.81273,0.99251,0.55086,0.00397019,0.00397019,0.00397019
59,4037.64,0.36961,0.81554,0.99251,0.56165,0.00381899,0.00381899,0.00381899
60,4106.05,0.35213,0.82022,0.99251,0.56009,0.00366899,0.00366899,0.00366899
61,4174.17,0.34855,0.82303,0.99157,0.56957,0.00352037,0.00352037,0.00352037
62,4242.91,0.33581,0.81929,0.98876,0.57591,0.00337325,0.00337325,0.00337325
63,4311.45,0.33975,0.81273,0.99157,0.56053,0.00322778,0.00322778,0.00322778
64,4379.65,0.32701,0.81367,0.99064,0.57494,0.00308412,0.00308412,0.00308412
65,4447.33,0.32278,0.81742,0.99064,0.59465,0.00294239,0.00294239,0.00294239
66,4515.72,0.32037,0.81835,0.99251,0.565,0.00280275,0.00280275,0.00280275
67,4583.66,0.30719,0.82022,0.99438,0.5663,0.00266532,0.00266532,0.00266532
68,4651.11,0.2994,0.81648,0.99251,0.56765,0.00253024,0.00253024,0.00253024
69,4720.12,0.29745,0.81554,0.99157,0.58209,0.00239766,0.00239766,0.00239766
70,4788.15,0.29535,0.80524,0.99157,0.61505,0.00226769,0.00226769,0.00226769
71,4856.07,0.28362,0.81086,0.99251,0.61911,0.00214046,0.00214046,0.00214046
72,4924.43,0.27755,0.81554,0.99157,0.61303,0.00201611,0.00201611,0.00201611
73,4992.81,0.27557,0.81086,0.99064,0.60272,0.00189475,0.00189475,0.00189475
74,5061.8,0.27186,0.81648,0.99251,0.60827,0.00177651,0.00177651,0.00177651
75,5129.16,0.25821,0.82116,0.99064,0.61368,0.00166149,0.00166149,0.00166149
76,5196.47,0.25805,0.81367,0.99157,0.61132,0.00154982,0.00154982,0.00154982
77,5265.91,0.25211,0.8118,0.99064,0.62108,0.00144161,0.00144161,0.00144161
