,precision,recall,f1-score,support
Cabbage__Alternaria_Spot,0.6875,1.0,0.8148148148148148,11.0
Cabbage__Black_Rot,1.0,0.7142857142857143,0.8333333333333334,7.0
Cabbage__Downy_Mildew,0.2857142857142857,0.5,0.36363636363636365,4.0
Cabbage__Healthy_Leaf,0.8888888888888888,0.7272727272727273,0.8,11.0
Cauliflower__Alternaria_Disease,1.0,0.9814814814814815,0.9906542056074766,54.0
Cauliflower__Bacterial_Soft_Rot,0.9117647058823529,1.0,0.9538461538461539,31.0
Cauliflower__Bacterial_Spot,1.0,0.967741935483871,0.9836065573770492,62.0
Cauliflower__Black_Spot,1.0,0.9743589743589743,0.987012987012987,39.0
Cauliflower__Downy_Mildew,0.9661016949152542,0.9193548387096774,0.9421487603305785,62.0
Cauliflower__Healthy,0.9927536231884058,1.0,0.9963636363636363,137.0
Cauliflower__Nutrient_Deficiency,1.0,0.9166666666666666,0.9565217391304348,24.0
Chili__Bacterial_Spot,0.896551724137931,0.896551724137931,0.896551724137931,29.0
Chili__Cercospora_Leaf_Spot,0.9032258064516129,0.9333333333333333,0.9180327868852459,30.0
Chili__Curl_Virus,0.9736842105263158,1.0,0.9866666666666667,37.0
Chili__Healthy_Leaf,1.0,0.9473684210526315,0.972972972972973,38.0
Eggplant__Healthy_Leaf,1.0,0.993006993006993,0.9964912280701754,143.0
Eggplant__Insect_Pest_Disease,0.9327731092436975,0.9823008849557522,0.9568965517241379,113.0
Eggplant__Leaf_Spot_Disease,0.9574468085106383,0.9375,0.9473684210526315,48.0
Eggplant__Mosaic_Virus_Disease,0.9770114942528736,0.9883720930232558,0.9826589595375722,86.0
Eggplant__Wilt_Disease,0.9354838709677419,0.9666666666666667,0.9508196721311475,30.0
Gourd__Alternaria_Leaf_Blight,0.9523809523809523,0.7142857142857143,0.8163265306122449,28.0
Gourd__Downy_Mildew,0.7142857142857143,0.625,0.6666666666666666,8.0
Gourd__Healthy_Leaf,0.75,1.0,0.8571428571428571,9.0
Gourd__Mosaic_Virus,0.8444444444444444,0.9743589743589743,0.9047619047619048,39.0
Guava__Algal_Leaf_Spot,0.7058823529411765,0.8,0.75,15.0
Guava__Dry_Leaf,1.0,0.6666666666666666,0.8,9.0
Guava__Healthy,0.9,0.9,0.9,30.0
Guava__Insect_Pest_Disease,1.0,0.4230769230769231,0.5945945945945946,26.0
Guava__Red_Rust,0.8,0.8,0.8,15.0
Potato__Early_Blight,0.9180327868852459,0.8442211055276382,0.8795811518324608,199.0
Potato__Healthy_Leaf,0.9,0.5806451612903226,0.7058823529411765,31.0
Potato__Late_Blight,0.85,0.8680851063829788,0.8589473684210527,235.0
Rice__Bacterial_Leaf_Blight,0.7631578947368421,0.8529411764705882,0.8055555555555556,34.0
Rice__Brown_Spot,0.8529411764705882,0.7837837837837838,0.8169014084507042,37.0
Rice__Healthy_Leaf,1.0,1.0,1.0,33.0
Rice__Leaf_Blast,0.8,0.9473684210526315,0.8674698795180723,38.0
Rice__Leaf_Scald,0.8666666666666667,0.7428571428571429,0.8,35.0
Rice__Narrow_Brown_Leaf_Spot,0.8620689655172413,0.78125,0.819672131147541,32.0
Rice__Rice_Hispa,0.9714285714285714,1.0,0.9855072463768116,34.0
Rice__Sheath_Blight,0.9444444444444444,0.918918918918919,0.9315068493150684,37.0
Tomato__Bacterial_Spot,0.3055555555555556,0.6470588235294118,0.41509433962264153,17.0
Tomato__Early_Blight,0.3333333333333333,0.6153846153846154,0.43243243243243246,13.0
Tomato__Healthy_Leaf,1.0,0.4,0.5714285714285714,10.0
Tomato__Late_Blight,0.8571428571428571,0.6666666666666666,0.75,18.0
Tomato__Mosaic_Virus,0.38095238095238093,0.8888888888888888,0.5333333333333333,9.0
accuracy,0.8968293910417715,0.8968293910417715,0.8968293910417715,0.8968293910417715
macro avg,0.8573692959970225,0.8397271231906119,0.8331822824174444,1987.0
weighted avg,0.9131351330257917,0.8968293910417715,0.899327571590644,1987.0
