class,total_images,correct,accuracy
Cabbage__Alternaria_Spot,11.0,11.0,0.999999999990909
Cabbage__Black_Rot,7.0,5.0,0.7142857142755102
Cabbage__Downy_Mildew,4.0,2.0,0.4999999999875
Cabbage__Healthy_Leaf,11.0,8.0,0.7272727272661157
Cauliflower__Alternaria_Disease,54.0,53.0,0.9814814814796639
Cauliflower__Bacterial_Soft_Rot,31.0,31.0,0.9999999999967742
Cauliflower__Bacterial_Spot,62.0,60.0,0.96774193548231
Cauliflower__Black_Spot,39.0,38.0,0.974358974356476
Cauliflower__Downy_Mildew,62.0,57.0,0.9193548387081946
Cauliflower__Healthy,137.0,137.0,0.9999999999992701
Cauliflower__Nutrient_Deficiency,24.0,22.0,0.9166666666628472
Chili__Bacterial_Spot,29.0,26.0,0.8965517241348395
Chili__Cercospora_Leaf_Spot,30.0,28.0,0.9333333333302223
Chili__Curl_Virus,37.0,37.0,0.9999999999972973
Chili__Healthy_Leaf,38.0,36.0,0.9473684210501384
Eggplant__Healthy_Leaf,143.0,142.0,0.9930069930062987
Eggplant__Insect_Pest_Disease,113.0,111.0,0.9823008849548829
Eggplant__Leaf_Spot_Disease,48.0,45.0,0.9374999999980469
Eggplant__Mosaic_Virus_Disease,86.0,85.0,0.9883720930221065
Eggplant__Wilt_Disease,30.0,29.0,0.9666666666634445
Gourd__Alternaria_Leaf_Blight,28.0,20.0,0.7142857142831633
Gourd__Downy_Mildew,8.0,5.0,0.6249999999921875
Gourd__Healthy_Leaf,9.0,9.0,0.9999999999888889
Gourd__Mosaic_Virus,39.0,38.0,0.974358974356476
Guava__Algal_Leaf_Spot,15.0,12.0,0.7999999999946666
Guava__Dry_Leaf,9.0,6.0,0.6666666666592592
Guava__Healthy,30.0,27.0,0.8999999999970001
Guava__Insect_Pest_Disease,26.0,11.0,0.4230769230752959
Guava__Red_Rust,15.0,12.0,0.7999999999946666
Potato__Early_Blight,199.0,168.0,0.844221105527214
Potato__Healthy_Leaf,31.0,18.0,0.5806451612884496
Potato__Late_Blight,235.0,204.0,0.8680851063826094
Rice__Bacterial_Leaf_Blight,34.0,29.0,0.8529411764680795
Rice__Brown_Spot,37.0,29.0,0.7837837837816655
Rice__Healthy_Leaf,33.0,33.0,0.9999999999969696
Rice__Leaf_Blast,38.0,36.0,0.9473684210501384
Rice__Leaf_Scald,35.0,26.0,0.7428571428550204
Rice__Narrow_Brown_Leaf_Spot,32.0,25.0,0.7812499999975585
Rice__Rice_Hispa,34.0,34.0,0.9999999999970588
Rice__Sheath_Blight,37.0,34.0,0.9189189189164353
Tomato__Bacterial_Spot,17.0,11.0,0.6470588235256056
Tomato__Early_Blight,13.0,8.0,0.6153846153798816
Tomato__Healthy_Leaf,10.0,4.0,0.399999999996
Tomato__Late_Blight,18.0,12.0,0.666666666662963
Tomato__Mosaic_Virus,9.0,8.0,0.8888888888790123
